דִּ מְ י וֹן	di mˈ j on
נֹ א ד	ˈn o d
מח ר וז ת	maxˈ r oze t
רְ אָ יָ ה	re ʔaˈ j a
לְ הַ אַ כִ י ל	le ha ʔaˈ x i l
לְ הַ מְ לִי ךְ	le ha mˈ li x
יָ ד	ˈja d
לְ בַּ לֵ ף	le baˈ le f
לִ קְ מ וֹ ץ	li kˈ m o ts
תְ כֵ לֵ ת	tˈ xe le t
פַּ רְ פַּ ר	pa rˈ pa r
ע ו בד ה	u v ˈd a
בּ וֹר ֶ ג	ˈb or e g
ל היס ג ר	le hisaˈ ge r
ח מ ס	xa ˈma s
לִ שְׁ ל וֹ ק	li ʃˈ l o k
ל כ ח ש	le x aˈxe ʃ
לְ גַ דֵּ ל	le gaˈ de l
לְ הִ תְ נַ גֵּ ן	le h it naˈ ge n
בְּ הֵ כְ רֵ חַ	be he xˈ re ax
לְ הִ ת ְלַ כֵּ ד	le hi t laˈ ke d
בָּ לָ טָ ה	baˈ la t a
עוֹ ל	ˈo l
לְ פַ נֵ ק	le faˈ ne k
מִ דְ ר וֹ נִי	mi d r oˈ ni
לִ פְ ח וֹ ז	li fˈ x o z
ע ֲ רָ פֶ ל	a r aˈ fe l
פָּ ק וּ חַ	paˈ k u ax
סְ קִי לָ ה	s kiˈ l a
לְ זַ רֵ ז	le zaˈ re z
לִי מ וֹן	liˈ m on
חֲ פִ י סָ ה	xa fi ˈ s a
חִ י דַה	xi ˈ da
מְ ע וּ יָּ ן	me ʔ uˈ ja n
לִ רְ ק וֹד	li rˈ k od
ל ה וש יט	le h oˈʃ it
מִ שְׁ וו ָ אָ ה	mi ʃ va ˈ ʔ a
ק דו ש	kaˈ do ʃ
לְ גַ י יֵ ר	le gaˈ j e r
חַ מְ קַ נִי	xa m kaˈ ni
מ וּ כ ַ נִי ם	m u x aˈ ni m
לַ ק וּ י	laˈ k u j
חַ ת וּ ל	xaˈ t u l
מְ י וּ חָ ל	me j uˈ xa l
טְ עִי נַה	te ʔiˈ na
לִ שְׁ עוֹ ת	li ʃˈ ʔo t
שָׁ מַ יִ ם	ʃaˈ ma ji m
לְ קַ שֵׁ ת	le kaˈ ʃe t
לְ הִ י מָּ שׁ וֹת	le h i maˈ ʃ ot
א וֹ שֶׁ ר	ˈ o ʃe r
מֶ לֶ ל	ˈme le l
לְ הִ תְ אַ מֵ ן	le hi tʔ aˈ me n
א ֲבַ קּ ֵ שׁ	a vaˈ k e ʃ
פ ט מה	p itˈ ma
מַ כְ תּ ֵ שׁ	ma xˈ t e ʃ
אֵ לַא	ˈe la
ת י י ר ות	ta j aˈ r ut
לְ ב וֹ שֵׁ שׁ	le v oˈ ʃe ʃ
פּ ְנִ י נַה	p ni ˈ na
ר ק ה	raˈ k a
מא ור	maˈʔ or
ל הת ג ד ר	le hit g aˈde r
מַ רְ כּ וֹ ל	ma rˈ k o l
מְ שִׂ י מַה	me s iˈ ma
מִי צּ וּ ב	mi tˈs u v
ל ה י לא ו ת	le hi l aˈʔ o t
ל פ ש ו ע	l ifˈ ʃ o a
מל כ וד ת	malˈ k ode t
מַ צּ ֶ ג ֶ ת	ma tˈs e g e t
לְ הִ תְ נַ דְ נֵ ד	le h it na dˈ ne d
ת מ ר	ta ˈma r
לְ הַ עַ רִי ם	le ha ʔaˈ ri m
מִ זְ רָ ן	mi zˈ ra n
ר נ נה	re na ˈna
ל הת א ר ך	le hitʔ aˈ re x
א ל ג נ ט י	e le ˈga n t i
ר כי ש ה	re xiˈ ʃ a
לַ נ וּ חַ	laˈ n u ax
נֶ חָ ת	neˈ xa t
ל ה ש ת מ ש	le hi ʃ ta ˈme ʃ
דָּ ל וּ ק	daˈ l u k
ל ה יט פ ל	l e hitaˈ fe l
נָ ט וּעַ	naˈ t ua
גְּ מִי לָ ה	g miˈ l a
יִ תְ רַה	ji tˈ ra
לְ הִ יק ָּ לֵ ט	le h ik aˈ le t
חַ לִי פַה	xa liˈ fa
רַ פ וּ י	raˈ f u j
הֵ סְ בֵּ ר	he sˈ be r
לְ הַצְ לִי חַ	le hatsˈ li ax
מ וֹ רֵה	m oˈ re
ל הת ב צ ר	le hit b atˈse r
צַה וֹ ב	tsaˈh o v
ל וּ חִ ית	l uˈ x it
עָ מָ ל	aˈ ma l
א ו בס סי ב י	o b seˈ si v i
פִּי ל	ˈpi l
מִ שְׁ כָּ ן	mi ʃˈ ka n
לֶ א ֱ ב וֹד	le ʔ eˈ v od
גֵ י הִ נ וֹ ם	ge hi ˈ n o m
מִ לְ חַ מַה	mi l xaˈ ma
ל ה י פ ו ץ	le hi ˈ p o ts
לְ הִ ישַׁ עֵ ן	le h iʃaˈ ʔe n
נִ בְ זֶ ה	ni vˈ z e
דַ רְ כּ וֹן	da rˈ k on
זִ י מ וּ ן	zi ˈ m u n
חֵ לֵ ק	ˈxe le k
ס וּ סָ ה	s uˈ s a
כ ש ל	ˈke ʃe l
לְ הִ ישַׁ ב וֹת	le h iʃaˈ v ot
ח כ ם	xa ˈxa m
אַ ל	ˈa l
אִי ג וּ ף	iˈ g u f
לְ הֵי חָ קֵ ר	le he xaˈ ke r
ח וֹ מֵ ר	ˈ xo me r
מִ לְ בַ ד	mi lˈ va d
לְ הִ ת ְקַ לֵּ חַ	le hi t kaˈ le ax
דַה וּ י	daˈh u j
מַ פַּ ץ	maˈ pa ts
לְ הִ תְ קַ מְ צ ֵ ן	le h it ka m tˈs e n
לֵא ֵ ז וֹ ל	leʔ eˈ z o l
זְ וו ָ עָ ה	z va ˈ ʔ a
לִ שְׁ נ וֹת	li ʃˈ n ot
עַ בֵ שׁ	aˈ ve ʃ
בִּ שְׁ בִי ל	bi ʃˈ vi l
ס מ כ ות	s amˈ x ut
כַּ ע ֲ ב וֹר	ka ʔ aˈ v or
לְ הַ תִּ י ךְ	le haˈ t i x
לְ הִ ת ְקַ צ ֵ ף	le hi t k atˈs e f
לֶ א ֱ ג וֹ ף	le ʔ eˈ g o f
מ כ ת ם	mi xˈ ta m
חי דו ן	xiˈ do n
מַ כְ א וֹ ב	ma xˈ ʔ o v
פר ג	paˈra g
לְ חַ זּ ֵ ק	le xa ˈz e k
סָ דִי ר	saˈ di r
ת וּ שִׁי יַה	t u ʃiˈj a
מ ש פ ך	ma ʃ ˈpe x
מְ נ וּ וָּ ל	me n uˈ va l
פר ך	ˈpere x
לְ ב וּ שׁ	leˈ v u ʃ
ת וֹצ ֵ רֵ ת	t otˈs e re t
לְ הַ שְׁ כִּי חַ	le ha ʃˈ ki ax
הַ רְ שָׁ עָ ה	ha r ʃaˈ ʔ a
קַ שׁ וּ ר	kaˈ ʃ u r
מִ שְׁ לַ ב	mi ʃˈ la v
הַ מִ שְׁ פַּ ט	ha mi ʃˈ pa t
דַ ר וּ שׁ	daˈ r u ʃ
מַ טָּ לָ ה	ma taˈ l a
שְׁ אִי פַה	ʃe ʔiˈ fa
קַ נַא	ka ˈna
נָ זִ י ל	naˈ z i l
אַ יֵּ ה	a ˈj e
ג ח מה	g axˈ ma
ל הת נ ג ד	le hit na ˈge d
לְ חַ דֵּ ד	le xaˈ de d
א צי ל ות	a tsiˈ l ut
לְ הַ שְׁ גִ י חַ	le ha ʃ ˈg i ax
חַ ל וּ דַה	xa l uˈ da
סָ מ וּ י	saˈ m u j
אִ יּ וּ שׁ	iˈ j u ʃ
מְ עִי לָ ה	me ʔiˈ l a
נַ תְ רָ ן	na tˈ ra n
עַ צְ מָ א וּת	a ts maˈ ʔ ut
דר ומ י	dr oˈm i
שִׁי פְ שׁ וּ ף	ʃi fˈ ʃ u f
שכ ל ת ן	sx alˈ ta n
מַ חְ שֵׁ ב	ma xˈ ʃe v
נ בר ש ת	n ivˈre ʃe t
מֵא ִ תַ נ וּ	meʔ i taˈ n u
ר י א ה	re ˈ ʔ a
לְ רַ תּ וֹת	le raˈ t ot
לֶ א ֱ פ וֹ ז	le ʔ eˈ f o z
חט י בה	xa t iˈva
בְּ שָׂ רִי	b saˈ ri
הַ רְ חָ קָ ה	ha r xaˈ k a
יִ תְ רָ ה	ji tˈ r a
ק ל ל ה	k la ˈl a
הִ סְ תַ כּ ְ ל וּת	hi s ta k ˈ l ut
לְ הִ תְי יַ פֵּ חַ	le h itj aˈ pe ax
הַ בִּ טּ וּ חַ	ha bi ˈt u ax
מַע ַ שֵׂה	maʔ a ˈse
ה צ ל ה	h atsaˈ l a
רַ כָּ ז	raˈ ka z
חִ י לּ וּ ף	xi ˈ l u f
מְ פ וּ בְּ רַ ק	me f u bˈ ra k
רַ ט וֹ ב	raˈ t o v
ל ד ח ו ת	l idˈ x o t
זִ י ף	ˈz i f
א תה	aˈ ta
חַ כַּה	xaˈ ka
חֲ סִי דָ ה	xa siˈ d a
לְ הִ יק ָּ צ ֵ ר	le h ik a tˈs e r
זְ וו ָ עָ תִי	z va ʔ aˈ ti
ח ל ו ד	xa ˈl u d
ס פר ו ן	s ifˈr o n
לִ רְ ק וֹ ב	li rˈ k o v
צי נ תור	tsi nˈ tur
ל ה י פ ק ד	le h i pa ˈke d
ל ה י ר ע ץ	le h e raˈ ʔ ets
הֶ י שֵּׂ ג	he ˈ se g
ל הת נ ג ש	le hit na ˈge ʃ
ל וֹ בֶ ן	ˈl o ve n
ד וּ ד	ˈd u d
לְ הַ ע ֲ דִי ף	le ha ʔ aˈ di f
לְ הַ שְׁ תִּ ית	le ha ʃˈ t it
ת י ר ו ץ	te ˈ r u ts
זְ מִי רַה	z miˈ ra
חֲ תִי כָ ה	xa tiˈ x a
שְׁ לִי ח וּת	ʃ liˈ x ut
לִ בְ ג וֹד	li vˈ g od
לָ אַ חֲ ר וֹ נָ ה	la ʔa xa r oˈ n a
לֶ א ֱ ר וֹ ב	le ʔ eˈ r o v
לִ צְ עוֹ ן	li tsˈ ʔo n
סה ר ו ן	sa haˈr o n
ל ה ר וס	l a haˈr os
שָׁ ל וֹ שׁ	ʃaˈ l o ʃ
לְ תַ חְ קֵ ר	le ta xˈ ke r
לְ הַ רִי ם	le haˈ ri m
הת ח ש ב ות	hit xa ʃˈ v ut
דַּ ווְ שָׁ ה	da vˈ ʃ a
צ ל	tˈse l
שְׁ נִי נַה	ʃ niˈ na
נ יז ו ם	n iˈz u m
פֵּ רְ ג וֹ לַה	ˈpe r g o la
לְ הַלְ עִי ט	le halˈ ʔi t
נִי צָּ ב	ni tˈsa v
צַע ַ דַה	tsaʔ aˈ da
נְ שִׁי קַה	ne ʃiˈ ka
אֵ י ן	ˈe i n
דו ח ה	doˈ x e
פ ת ח	ˈpe ta x
יְ הַ ב	jeˈ ha v
לְ קַ בֵּ ץ	le kaˈ be ts
לְ הִ ת ְבַּ קּ ֵ עַ	le hi t baˈ k e a
א כ ו ל	aˈ x u l
לִ דְ ג וֹר	li dˈ g or
כִּ לְ יַה	ki lˈ ja
ח ר ס	ˈxe re s
לֵא ֵ פ וֹ ס	leʔ eˈ f o s
רָ הִ יט	raˈ h it
אַ שְׁ לְ גַ ן	a ʃ leˈ ga n
מח מ ד	maxˈ ma d
ל נ ש ו ק	l inˈ ʃ o k
מ ר	ˈma r
ל ה ש ת ופ ף	le hi ʃ t oˈfe f
י ל ו דה	j e l uˈda
מֶ חְ לָ ף	me xˈ la f
צִי נּ וֹר	tsiˈ n or
ב ל ש ת	b aˈle ʃe t
שְׂ כִ י ר וּת	s x iˈ r ut
ל ס מ ם	le sa ˈme m
ה וֹ גֵ ן	h oˈ ge n
ל ה ש ת ק ע	le hi ʃ ta ˈke a
גִ י וֹר ֵ ת	giˈ j or e t
ס מו ך	sa ˈmu x
לְ הַצִּ ית	le hatˈs it
לְ הִ סְ תַ גֵ ר	le hi s taˈ ge r
הִ סְ תַ נְ נ וּת	hi s ta neˈ n ut
ל רא ו ת	l irˈʔ o t
נ ב ל	na ˈva l
אִי שִׁי ם	iˈ ʃi m
ל ג ד ר	le g aˈde r
מ ק ס ו ם	mi kˈ s u m
ע ֲתִ י רָ ה	a t iˈ r a
ל ה י וו ש ע	le hi v aˈ ʃe a
א יח ו ד	i ˈx u d
ש ל וו ה	ʃ a lˈv a
בְּ לִי מָ ה	b liˈ m a
לְ הִ יטָּ עֵ ן	le h itaˈ ʔe n
ל הת פר ק	le hit paˈre k
מח מ ץ	maxˈ ma ts
לְ שַׁ י יֵּ ט	le ʃa ˈ je t
ל ה יח ב ש	le h exa ˈve ʃ
עֵ לְ בּ וֹן	e lˈ b on
קַ ר	ˈka r
ל ה ש ת ל ש ל	le hi ʃ ta lˈ ʃe l
ל ה ז ר יק	le h azˈ r ik
לִ צְ ל וֹ ף	li tsˈ l o f
לִ שְׁ ז וֹ ף	li ʃˈ z o f
לִ פְ גּ וֹר	li fˈ g or
ל פ ס פ ס	le f asˈ fe s
לא ו נ ן	leʔ o ˈne n
לְ י יַ לֵּ ד	le j aˈ le d
לְ הִ י מָּ רֵ חַ	le h i maˈ re ax
לְ הַחְ לִי ד	le haxˈ li d
מַ כְ שִׁי ר	ma xˈ ʃi r
מְ ר וּ וָּ ח	me r uˈ va x
טִ רְ דָּ ה	ti rˈ d a
שׁ וֹ טֵה	ʃ o ˈte
עוֹ מֶ ר	ˈo me r
לְ חַ י יֵ ל	le xaˈ j e l
ל צ פ ו ת	l itsˈ p o t
ל נ ג ע	le na ˈge a
ג ר ע י ן	g arˈ ʔ i n
תַּ גְ לִי ת	ta gˈ li t
נַ עַ שַׂ ה	na ʔa ˈs e
ח ס כ נ ות	xa s x aˈn ut
מְ רִי צָ ה	me ri tˈs a
לִ קְ רַא ת	li kˈ ra t
ל ש א ו ב	l iʃˈ ʔ o v
בַּא ַ רִי כ וּת	baʔ a riˈ x ut
א וֹ הֵ ד	o ˈ he d
ל ל ט וש	l ilˈ t oʃ
מַ גֵ י פַה	ma ge ˈ fa
לְ נַ מֵּ ק	le naˈ me k
לְ פַ עֵ ם	le faˈ ʔe m
לִ דְ ה וֹר	li dˈ h or
מי ומנ ות	mej umaˈn ut
לְ סַ י יֵּ ם	le sa ˈ je m
מְ ק וֹר ִ יּ וּת	me k or iˈ j ut
לְ הִ ת ְכַּ דֵּ ר	le hi t kaˈ de r
גּ וּ פָ נִי	g u faˈ ni
לְ הַ גֵ ר	le haˈ ge r
סִי סְ מָ ה	si sˈ m a
לְ פַ רְ גֵּ ן	le fa rˈ ge n
זְ ר וֹעַ	zˈ r oa
לְ הַ תְ ל וֹת	le ha tˈ l ot
כַּ עַ ס	ˈka ʔa s
עַ צְ ב וּת	a tsˈ v ut
ב צ ק	b atˈse k
שי ב ה	ʃiˈ v a
נֶ כֶ ד	ˈne xe d
לְ עַ ס וֹת	le ʔaˈ s ot
מֶ לְ קַ חַ ת	me lˈ ka xa t
ת וֹר ַ ן	t oˈr a n
אַ חִ י זַה	a xi ˈ za
לְ כ ַ בֵּ ד	le x aˈ be d
ל ה סת פ ק	le hi st aˈpe k
מִ בְ טַ ח	mi vˈ ta x
קַ דַ ר	kaˈ da r
שי ע ב ו ד	ʃiʔ aˈ b u d
רַ כֶּבֶ ת	raˈ keve t
ל ה ק ה ו ת	le h akˈ h o t
חֵ קֶ ר	ˈxe ke r
צ נ ו ב ר	ts n o ˈva r
בַּ ט וּ חַ	baˈ t u ax
הַ ז וּ י	haˈ z u j
א י ר ופ י	e iˈ r op i
נְ בִי חַה	ne viˈ xa
ל ה י ר כ ש	le h e raˈ xe ʃ
ל נ ח ור	l inˈ x or
מְ בַ רֵ ךְ	me vaˈ re x
רַ צְ חָ נִי	ra ts xaˈ ni
ז כ ו י	zaˈ x u j
נ יצ ו ל	n itˈs u l
לֶ קֶ ט	ˈle ke t
צַ מִי ג	tsaˈ mi g
אַ רְ בַּע	a rˈ ba
ל ה ש גי ח	le h aʃˈ gi ax
ו ב י ן	u ˈve j n
לְ הֵי חַ ז וֹת	le he xaˈ z ot
לְ חַ כּ וֹת	le xaˈ k ot
ק וֹ ץ	ˈ ko ts
הת ג ש מו ת	hit g aʃˈ mu t
ת ר ומ ה	t r uˈm a
בַּ דְ לַ ן	ba dˈ la n
ה ח ינ ו ך	h ax iˈn u x
ל הת א ז ר ח	le hitʔ a zˈ re ax
מִ דְ בָּ ר	mi dˈ ba r
לְ הַ חַ רִי ב	le ha xaˈ ri v
עַ נַ ן	aˈ na n
לְ הִ י שָּׁ בֵ עַ	le h i ʃaˈ ve a
לְ חַ שְׁ מֵ ל	le xa ʃˈ me l
חַ שְׁ מָ ל	xa ʃˈ ma l
הִ תְפַּ רְ צ וּת	h itpa r tˈs ut
נ ע י ל ה	n e ʔ i ˈla
ל ו לא	l uˈ le
ל כ נ ס	le x aˈne s
מְ ל וּ נָ ה	me l uˈ n a
שַׁ ח וּ ק	ʃaˈ x u k
לִי ט וֹ ל	liˈ t o l
לְ גַ בֵּ ל	le gaˈ be l
הֶ חְ זֵ ר	he xˈ ze r
לַעַ צוֹ ם	laʔa tˈso m
ל ה ד פי ס	le h adˈ pi s
הת נצ ל ות	hit natsˈ l ut
רִי ג וּ ל	riˈ g u l
לִ בְ ל וּ ב	li vˈ l u v
לְ דַ מְ דֵּ ם	le da mˈ de m
לְ הִ י מָּ עֵ ךְ	le h i maˈ ʔe x
פֶּ תַ ח	ˈpe ta x
לְ עַ נֵ ג	le ʔaˈ ne g
לְ הֵי פֶ ךְ	leˈ he fe x
שָׁ ל וּ חַ	ʃaˈ l u ax
מ ת יש ה ו	ma ˈta jʃe h u
לְ גַ בֵּ ב	le gaˈ be v
הת נה ג ות	hit na haˈg ut
כִּי נ וּ י	kiˈ n u j
לְ הִ ית ּוֹ סֵ ף	le h it o ˈse f
שכ ב ה	ʃixˈ v a
סִ פְ נַה	si fˈ na
לְ הִ תְ קַ שְׁ קֵ שׁ	le h it ka ʃˈ ke ʃ
טֶ בַ ח	ˈte va x
מ כ ו נא י	me x oˈ na j
לַ חַ ר וֹ ק	la xaˈ r o k
לְ הִ יסַ לֵ חַ	le h isaˈ le ax
הַ קְ לַ דַה	ha k laˈ da
לְ בַ ד וֹת	le vaˈ d ot
קִי וּ ם	kiˈj u m
נ ק ב ה	n eke ˈv a
הַ צָּ תָ ה	ha tsaˈ t a
ל ה ק נ ו ת	le h akˈ n o t
לְ בַ רֵ ךְ	le vaˈ re x
מַע ַ בַ ר וֹן	maʔ a vaˈ r on
זֵרֵ ד	ˈzere d
לְ הִ יבַּ קֵ עַ	le h ibaˈ ke a
מִ פְ לַ ס	mi fˈ la s
לְ הִ תְ גַּ דֵּ ר	le h it gaˈ de r
חי ל טור	xi lˈ tur
ל הת ע ג ל	le hitʔ aˈ ge l
ר וֹ שֶׁ ם	ˈr o ʃe m
לִ ה ְ י וֹת	li h ˈ j ot
ח ש ב	xa ˈʃa v
מ ק צ ת	mi k tˈsa t
קִי לְ ק וּ ל	ki lˈ k u l
יְ דֵ י	jeˈ de i
לְ הַ חַ רִי שׁ	le ha xaˈ ri ʃ
ל ח כ ו ם	la xˈ k o m
נִי צּ וֹ לֶ ת	ni tˈs o le t
פּ ְגִי שַׁה	p giˈ ʃa
פר א י	pirˈ ʔ i
ל ח ר ב ן	le xa r ˈbe n
הַ זְ כָּ רָ ה	ha z kaˈ r a
סַ ח וּ ט	saˈ x u t
לְ הַ רְ הֵ ר	le ha rˈ he r
פָּ קִי ד	paˈ ki d
מֵ עוֹ לָ ם	me ʔoˈ la m
תַ ע ְ תִי ק	ta ʔ aˈ ti k
א ל י ם	aˈ l i m
הַ עַ לַ בַה	ha ʔa laˈ va
סי מו ן	siˈ mu n
נִי טּ וּ ר	ni ˈt u r
ז ר יח ה	z r iˈx a
לְ בַ כֵּ ר	le vaˈ ke r
ב י כ ור	b iˈ k ur
ס בר ה	s va ˈra
לְ מָ חֳ רָ ת	le m oxoˈ ra t
לְ הַ זִ י ן	le haˈ z i n
שְׁ נִ יָּ ה	ʃ niˈ j a
אָ מֵ ן	aˈ me n
ח וֹ לַ נִי	x o laˈ ni
ה ֲ קָ מָ ה	h a kaˈ m a
לְ הִ שְׁ תַ תֵ ף	le hi ʃ taˈ te f
סִי ּ וּ ט	si ˈj u t
לְ הַ רְ עִיל	le ha rˈ ʔil
לְ הִ ינַ טֵ עַ	le hi naˈ te a
ע ָצ ֵ ל	a tˈs e l
חַ לַ ב	xaˈ la v
תַּ סְ נִי ן	ta sˈ ni n
ל ט מ וא	l itˈ m o
ק ט ע	ˈke t a
לִ שְׂ בּ וֹעַ	li sˈ b oa
נֵ תֵ ק	ˈne te k
אֶ טֶ ב	ˈe te v
זַ ךְ	ˈza x
פ ח ות	p aˈxo t
ס פר ד	s faˈr ad
מ תור ג מ ן	me tur ge ˈma n
ש ב ו ע ה	ʃ v uˈ ʔ a
ע ג מו מי	a g muˈ mi
הַ ע ֲ רָ צָ ה	ha ʔ a ra tˈs a
לִנְ שׁ וֹ ם	linˈ ʃ o m
וֶ סֶ ת	ˈve se t
ת וֹת ַח	t oˈt ax
התי יח ס ות	hitj axa ˈs ut
מַ חַ זַ א י	ma xa ˈz a j
לְ הִ שְׁתַּ תּ ֵ ף	le hi ʃtaˈ t e f
קָ ד וּ ם	kaˈ d u m
קַ לְ דָ ן	ka lˈ da n
תַּ רְ שִׁ י ם	ta rˈ ʃ i m
כִּ בְ שַׂ ה	k iv ˈs a
בַּ מַה	baˈ ma
לְ הִ יז ַ הֵ ר	le h iz aˈ he r
לְ הַ שְׂ כִּי ר	le ha sˈ ki r
ק שי ש	kaˈ ʃi ʃ
לְ מַ טַה	leˈ ma ta
ל ה יט ג ן	le hi ta ˈge n
לְ הִ תְפַּ תּ ֵ חַ	le hi tpaˈ t e ax
לְ רַ חְ רֵ חַ	le ra xˈ re ax
שָׁ ק וּ ף	ʃaˈ k u f
מַע ַ גַ ל	maʔ aˈ ga l
שֶׁ יִּ ה ְ י וּ	ʃe ji h ˈ j u
צַ רֵ בֵ ת	tsaˈ re ve t
כִּי פָּ ה	ki ˈp a
זִ קְ נָ ה	zi kˈ n a
ח ו ל ה	x oˈ l e
רַ מַא י	raˈ ma j
לְ הַ חֲ י וֹת	le ha xaˈ j ot
הָ עִ נְ יָ ן	ha ʔi nˈ ja n
לְ הִ ת ְקַ טֵ ל	le hi t kaˈ te l
פִּי תּ וּ חַ	piˈ t u ax
הַ קְ דָּ שָׁ ה	ha k daˈ ʃ a
צִ יּ וּ ר	tsiˈ j u r
הַ א ֲ בָ סָ ה	ha ʔ a vaˈ s a
פֶּ סַ ח	ˈpe sa x
מִ רְ קַ ם	mi rˈ ka m
לַע ֲ ת וֹר	laʔ aˈ t or
לְ הִ יפַּ תֵ ר	le h ipaˈ te r
ל הת מ ז ג	le hit ma ˈze g
סְ טָ טִי סְ טִי קָ ה	s taˈ ti s ti k a
מְ י וּת ָּ ר	me j uˈt a r
ל הת פ ל פ ל	le hit pa l ˈpe l
צו ר ה	tsuˈ r a
לְ הִ תְ בַּ רְ י יֵ ן	le h it ba rˈ j e n
ל מ ר פ ק	le ma r ˈpe k
לְ הִ י ווּ ָ עֵ ז	le hi v aˈ ʔ e z
מו ת ן	ˈmo te n
יַ סְ ע וּ ר	ja sˈ ʔ u r
לְ הִ תְ עַ נְ י יֵ ן	le hi tʔ a nˈ j e n
שֵׁ	ˈʃe
תִ קְ שׁוֹר ֵ ת	ti kˈ ʃor e t
לְ הַט ְרִי ל	le hat ˈri l
לְ הִ תְפַּ קּ ֵ חַ	le hi tpaˈ k e ax
תַ רְ גִ י ל	ta r ˈg i l
חִ י לּ וּ פִ י	x i l uˈ f i
חִ יס ָּ י וֹן	x is aˈ j on
ד ג ן	daˈ g an
לְ חַ י יֵּ ב	le xa ˈ je v
הַ רִי גַה	ha riˈ ga
לְ הַ נְ זִ י ל	le ha nˈ z i l
ח וּ קִי	x uˈ ki
לְ הַ רְ טִי ב	le ha rˈ ti v
ע יצ ה	e tˈs a
מלא כ ות י	mel ax uˈt i
שִׁי קְ ל וּ ל	ʃi kˈ l u l
חַ סְ כ ַ ן	xa sˈ x a n
לְ שַׁ לְ טֵ ט	le ʃa lˈ te t
נִי צַ ב	ni tˈsa v
שְׁ לִי שׁ	ʃˈ li ʃ
לְ הַ כְ זִ י ב	le ha xˈ z i v
לְ הִ יג ָּ מֵ ר	le hi g aˈ me r
ל פ ח ד	le f aˈxe d
קֵ י רֵ חַ	ke ˈ re ax
הִ ת ְפָּ רְ ס וּת	hi t p ar ˈs ut
דו פ ק	ˈdo fe k
גַ ר וֹן	gaˈ r on
שַׁ רְ שֶׁ רֶ ת	ʃa rˈ ʃe re t
זִ י כּ וּ י	zi ˈ k u j
לֵא ְשׁ וֹ ם	leʔ eˈʃ o m
גַּ ג	ˈga g
לִ קְ שׁ וֹת	li kˈ ʃ ot
א י כ ות	e iˈ x ut
טִי רָ ה	tiˈ r a
ל ח ש ו ב	la xˈ ʃ o v
נָ א ו וֶ ה	n a ˈ v e
מָ עוֹ ף	maˈ ʔo f
אִי שִׁי ת	iˈ ʃi t
בַּ שְׂ רַ נִי	ba s raˈ ni
רְ תִי חָ ה	re tiˈ x a
גַּ לְ גַּ ל	ga lˈ ga l
דְ חִ י סַה	d xi ˈ sa
חַ שׁ וּ ב	xaˈ ʃ u v
הִ תְפַּ רְ ס וּת	h itpa rˈ s ut
ל ה ית ק ן	le hi ta ˈke n
י וּ חֲ סִי ן	j u xaˈ si n
ש ת י י ן	ʃ atˈ j a n
ה ֲגַ נָּ ה	h aga ˈn a
לְ הִ תְ נַ זֵ ר	le h it naˈ ze r
אַ תֶּ ם	aˈ te m
ל הת ק ר ב	le hit kaˈ re v
יַ פְ י וּ ף	ja fˈ j u f
ל ה מא יס	le h amˈʔ is
לְ דַ שְׁ דֵ שׁ	le da ʃˈ de ʃ
ל ר וש ש	le r oˈʃe ʃ
סִי נּ וּ ן	siˈ n u n
ת ש ע	ˈte ʃ a
ל תא ו ם	l itˈʔ o m
ל ה נ י ב	le h aˈn i v
פּ ְשַׁ רַה	p ʃaˈ ra
ס פ ר	sa ˈpa r
רַ כַּ ז	raˈ ka z
מו ש ג	mu ˈsa g
זַ נִי חַ	zaˈ ni ax
לְ הִ תְפַּ רֵ שׁ	le hi tpaˈ re ʃ
מַ תֶּ כֶ ת	maˈ te xe t
מֶ חְ קָ ר	me xˈ ka r
בְּ רַ ם	bˈ ra m
י וז מה	j ozˈ ma
עִ ם	ˈi m
א מי ץ	aˈ mi ts
נ יק י ו ן	n ikaˈ j o n
דְ ר וֹ מִי	d r oˈ mi
ק ינ מו ן	k ina ˈmo n
לְ הִ ת ְגַ נֵ ב	le hi t gaˈ ne v
גַּ ף	ˈga f
יַצ ִּ י ב וּת	jats i ˈ v ut
מֶ שִׁ י	ˈme ʃ i
לְ קַ נֵּ א	le kaˈ n e
מי ש וש	miˈ ʃ uʃ
מְ ת וּ חְ כָּ ם	me t u xˈ ka m
לְ פַ סְ פֵ ס	le fa sˈ fe s
אָ ת וֹן	aˈ t on
פ ל ח	ˈpe la x
לָ מ וּת	laˈ m ut
שָׁ עוֹ ן	ʃaˈ ʔo n
כ ס	ˈke s
לְ הִ יכַּ פ וֹת	le h ikaˈ f ot
לְ הֵי עַ זֵ ב	le he ʔaˈ ze v
ל ה ל חי ץ	le h alˈ xi ts
לִ דְ ח וֹ ס	li dˈ x o s
עַ כְ שָׁ י ו	a xˈ ʃ a v
ל ה י פ ץ	le hi ˈ p ets
מִ שְׁ בָּ ר	mi ʃˈ ba r
עָ ל וּ ב	aˈ l u v
מִ מ וּ ל	miˈ m u l
הִ ת ְרַ גְ שׁ וּת	hi t ra gˈ ʃ ut
לְ הִ י פָּ רֵ ם	le h i paˈ re m
יָ ר וּ ד	jaˈ r u d
שְׂ רֵ י פַה	s re ˈ fa
מְ ק וּ בָּ ל	me k uˈ ba l
כּ וֹ ס	ˈ ko s
חַ דְ שָׁ נִי	xa d ʃaˈ ni
